X,Y,objectid,name,address,address2,municipal,state,zipcode,recordtype,data_year,source,market_id,ebt,coupons,latitude,longitude,prim_type,prim_naics,sqft_range,idx_weight
238338.909800000488758,903183.909699998795986,5385,Calderon Market,140 Princeton St, ,Boston,MA,02128,Verified,2016,ReferenceUSA,0, , ,42.378219,-71.03447,Supermarkets/Other Grocery (Exc Convenience) Strs,445110,"0 - 2,499",4
109113.298799999058247,927389.329100001603365,5386,Call's Corner Store,122 Conway St, ,Greenfield,MA,01301,Verified,2016,ReferenceUSA,0, , ,42.591759,-72.607356,Supermarkets/Other Grocery (Exc Convenience) Strs,445110,"0 - 2,499",4
232581.751400001347065,898247.42680000141263,5387,Calumet Market,1630 Tremont St, ,Roxbury Crossing,MA,02120,Unverified,2016,ReferenceUSA,0, , ,42.334039,-71.104653,Supermarkets/Other Grocery (Exc Convenience) Strs,445110,"0 - 2,499",4
232306.674999997019768,902239.180100001394749,5388,Cambridge Food Lab,326 Harvard St, ,Cambridge,MA,02139,Unverified,2016,ReferenceUSA,0, , ,42.369987,-71.107768,Supermarkets/Other Grocery (Exc Convenience) Strs,445110,"0 - 2,499",4
233451.02139999717474,902547.33500000089407,5389,Cambridge Market,1006 Cambridge St, ,Cambridge,MA,02141,Unverified,2016,ReferenceUSA,0, , ,42.372713,-71.093857,Supermarkets/Other Grocery (Exc Convenience) Strs,445110,"0 - 2,499",4
194449.106700003147125,922686.4879,5390,Cambrooke Foods,4 Copeland Dr, ,Ayer,MA,01432,Verified,2016,ReferenceUSA,0, , ,42.554714,-71.56759,Supermarkets/Other Grocery (Exc Convenience) Strs,445110,"0 - 2,499",4
210337.33330000191927,897966.141800001263618,5391,Cambrooke Foods,93 Lake Shore Dr, ,Wayland,MA,01778,Verified,2016,ReferenceUSA,0, , ,42.332118,-71.374571,Supermarkets/Other Grocery (Exc Convenience) Strs,445110,"0 - 2,499",4
207781.859999999403954,903994.764299999923,5392,Cambrooke Foods LLC,22 Candy Hill Rd, ,Sudbury,MA,01776,Unverified,2016,ReferenceUSA,0, , ,42.386422,-71.405497,Supermarkets/Other Grocery (Exc Convenience) Strs,445110,"0 - 2,499",4
47603.782899998128414,886252.968100000172853,5393,Camilles Market Inc,389 Stockbridge Rd, ,Great Barrington,MA,01230,Unverified,2016,ReferenceUSA,0, , ,42.211888,-73.345751,Supermarkets/Other Grocery (Exc Convenience) Strs,445110,"0 - 2,499",4
210068.973700001835823,931475.463899999856949,5394,Can Goods Plus,133 Princeton St, ,North Chelmsford,MA,01863,Unverified,2016,ReferenceUSA,0, , ,42.633789,-71.377242,Supermarkets/Other Grocery (Exc Convenience) Strs,445110,"0 - 2,499",4
236269.343800000846386,901576.276399999856949,5395,Canal Street Market,80 Canal St, ,Boston,MA,02114,Unverified,2016,ReferenceUSA,0, , ,42.363845,-71.0597,Supermarkets/Other Grocery (Exc Convenience) Strs,445110,"0 - 2,499",4
